date,file
2023-11-03,20231103.csv
2023-11-10,20231110.csv
2023-11-17,20231117.csv
2023-11-24,20231124.csv
2023-12-01,20231201.csv
2023-12-08,20231208.csv
2023-12-15,20231215.csv
2023-12-22,20231222.csv
2023-12-29,20231229.csv
2024-01-05,20240105.csv
2024-01-19,20240119.csv
2024-01-26,20240126.csv
2024-02-02,20240202.csv
2024-02-16,20240216.csv
2024-02-22,20240222.csv
2024-03-01,20240301.csv
2024-03-15,20240315.csv
2024-03-29,20240329.csv
2024-04-05,20240405.csv
2024-04-12,20240412.csv
2024-04-26,20240426.csv
2024-05-17,20240517.csv
2024-07-12,20240712.csv
